133.5,-161.8,-43.3,72.1
133.5,-161.9,-44,71.9
133.7,-161.9,-44.5,71.9
134,-162.3,-44.5,71.2
134.2,-162.6,-44.7,71.1
134.2,-162.6,-44.8,70.6
134.4,-162.3,-45.1,70.4
134.7,-162.3,-44.3,70.4
134.8,-158,-44.5,73.3
134.8,-157.9,-47.1,72.4
134.4,-162.9,-45.6,70.5
134.5,-163.5,-44.9,69.9
134.5,-163.1,-44.9,69.6
134.5,-162,-45.1,69.2
134.6,-161.9,-44.9,69.6
134.1,-162,-45.4,73
134.6,-163.1,-43.8,70.5
134.6,-163.5,-43,69.7
134.3,-163.1,-43.3,69.8
134.1,-162.4,-44.3,69.9
134.1,-161.9,-45.2,70.1
134.4,-158.4,-44.2,73.2
134.2,-163.3,-44,69.6
134.2,-163.7,-43.4,69.3
134.4,-162.8,-43.9,69.1
134.4,-162.6,-43.8,68.9
134.1,-162.5,-44.5,69.3
134.1,-162.3,-44.7,69.6
134.3,-161.9,-45.4,69.7
134.3,-162,-46,69.8
134.3,-162,-45.9,70
134.3,-161.9,-46,70.4
134.5,-162,-45.5,70.2
134.2,-162,-45.6,70.4
133.9,-162,-45.5,70.4
133.9,-162.1,-45.8,70.5
133.9,-162.2,-45.6,70.5
133.8,-162.3,-45.4,70.6
