132.1,-107.8,-45.6,17.9
132,-107.7,-45.7,17.9
131.9,-107.7,-46.1,17.5
132.6,-107.4,-46.2,17.1
133.4,-107.5,-46.3,16.8
134.3,-107.7,-46.5,16.4
134.1,-107.9,-46,16.4
134,-107.8,-45.6,16.6
134.1,-108,-45.5,17.2
133.3,-108.3,-45.5,17.4
132.4,-108.2,-45.6,17.4
131.7,-108.1,-45.4,17.7
132,-108.1,-45.5,17.7
132.1,-108.3,-45.3,17.3
132.8,-107.9,-45.3,17.8
132.9,-107.9,-45.5,18
133.2,-107.8,-45,18.1
133,-107.9,-44.9,17.9
132.9,-107.9,-45.3,17.7
132.8,-107.9,-45.6,17.7
132.9,-108,-45.5,17.5
132.9,-107.8,-45.2,17.8
132.9,-107.7,-45.5,17.6
133.2,-107.8,-45.5,17.9
132.1,-105.7,-45,18
132.7,-105.6,-45.1,18.1
132.5,-106.1,-45.1,17.7
133.6,-108.4,-45.2,17.5
133,-108.3,-45.4,17.6
132.8,-108.4,-45.6,17.9
132.8,-108.4,-46.1,17.9
132.8,-108,-46.3,17.9
132.8,-108.2,-46.4,18.1
133.3,-107.9,-46.2,17.9
133.2,-107.8,-46.1,17.9
133.2,-108,-45.6,17.5
